Year,STATE,TOTAL_HOME_UNITS
1992,NC,1.0
1992,PA,11.0
1993,AL,56.0
1993,AR,8.0
1993,CA,155.0
1993,CO,15.0
1993,CT,17.0
1993,FL,271.0
1993,IA,6.0
1993,IL,4.0
1993,IN,3.0
1993,KS,23.0
1993,KY,35.0
1993,MA,36.0
1993,MD,4.0
1993,MI,37.0
1993,MN,44.0
1993,MO,34.0
1993,NC,53.0
1993,ND,95.0
1993,NE,8.0
1993,NJ,15.0
1993,NV,7.0
1993,NY,15.0
1993,OH,162.0
1993,OK,7.0
1993,OR,7.0
1993,PA,9.0
1993,RI,21.0
1993,SC,7.0
1993,SD,10.0
1993,TN,30.0
1993,UT,16.0
1993,VA,81.0
1993,VT,18.0
1993,WA,13.0
1993,WI,105.0
1993,WV,3.0
1993,WY,2.0
1994,AL,182.0
1994,AR,113.0
1994,AZ,38.0
1994,CA,443.0
1994,CO,96.0
1994,CT,10.0
1994,FL,79.0
1994,GA,187.0
1994,HI,79.0
1994,IA,37.0
1994,ID,10.0
1994,IL,390.0
1994,IN,119.0
1994,KS,25.0
1994,KY,26.0
1994,LA,104.0
1994,MA,207.0
1994,MD,98.0
1994,ME,24.0
1994,MI,130.0
1994,MN,276.0
1994,MO,61.0
1994,NC,84.0
1994,ND,23.0
1994,NE,43.0
1994,NH,8.0
1994,NJ,48.0
1994,NM,13.0
1994,NV,138.0
1994,NY,131.0
1994,OH,242.0
1994,OK,45.0
1994,OR,69.0
1994,PA,176.0
1994,RI,38.0
1994,SC,6.0
1994,SD,26.0
1994,TN,38.0
1994,TX,89.0
1994,UT,86.0
1994,VA,44.0
1994,VT,34.0
1994,WA,135.0
1994,WI,229.0
1994,WV,16.0
1994,WY,23.0
1995,AL,286.0
1995,AR,125.0
1995,AZ,167.0
1995,CA,372.0
1995,CO,104.0
1995,CT,22.0
1995,DC,137.0
1995,DE,21.0
1995,FL,469.0
1995,GA,163.0
1995,HI,1.0
1995,IA,423.0
1995,IL,545.0
1995,IN,140.0
1995,KS,54.0
1995,KY,57.0
1995,LA,71.0
1995,MA,141.0
1995,MD,40.0
1995,ME,206.0
1995,MI,235.0
1995,MN,350.0
1995,MO,107.0
1995,MS,28.0
1995,MT,68.0
1995,NC,245.0
1995,ND,7.0
1995,NE,34.0
1995,NH,46.0
1995,NJ,132.0
1995,NM,17.0
1995,NV,37.0
1995,NY,399.0
1995,OH,458.0
1995,OK,29.0
1995,OR,180.0
1995,PA,312.0
1995,PR,2.0
1995,RI,184.0
1995,SC,96.0
1995,SD,104.0
1995,TN,82.0
1995,TX,243.0
1995,UT,17.0
1995,VA,222.0
1995,VT,85.0
1995,WA,154.0
1995,WI,422.0
1995,WY,28.0
1996,AK,13.0
1996,AL,500.0
1996,AR,134.0
1996,AZ,50.0
1996,CA,862.0
1996,CO,55.0
1996,CT,111.0
1996,FL,145.0
1996,GA,156.0
1996,HI,24.0
1996,IA,212.0
1996,ID,13.0
1996,IL,911.0
1996,IN,279.0
1996,KS,35.0
1996,KY,110.0
1996,LA,333.0
1996,MA,135.0
1996,MD,170.0
1996,ME,136.0
1996,MI,287.0
1996,MN,515.0
1996,MO,113.0
1996,MS,64.0
1996,MT,134.0
1996,NC,279.0
1996,ND,68.0
1996,NE,136.0
1996,NH,12.0
1996,NJ,322.0
1996,NM,65.0
1996,NV,35.0
1996,NY,1317.0
1996,OH,512.0
1996,OK,8.0
1996,OR,238.0
1996,PA,191.0
1996,RI,80.0
1996,SC,119.0
1996,SD,2.0
1996,TN,72.0
1996,TX,628.0
1996,UT,12.0
1996,VA,215.0
1996,VT,57.0
1996,WA,149.0
1996,WI,457.0
1996,WY,47.0
1997,AK,8.0
1997,AL,488.0
1997,AR,156.0
1997,AZ,65.0
1997,CA,1017.0
1997,CO,161.0
1997,CT,70.0
1997,DC,216.0
1997,FL,469.0
1997,GA,486.0
1997,HI,32.0
1997,IA,130.0
1997,ID,20.0
1997,IL,1086.0
1997,IN,174.0
1997,KS,142.0
1997,KY,39.0
1997,LA,26.0
1997,MA,199.0
1997,MD,110.0
1997,ME,159.0
1997,MI,169.0
1997,MN,392.0
1997,MO,196.0
1997,MT,18.0
1997,NC,268.0
1997,ND,1.0
1997,NE,100.0
1997,NH,65.0
1997,NJ,603.0
1997,NM,4.0
1997,NV,111.0
1997,NY,1130.0
1997,OH,461.0
1997,OK,105.0
1997,OR,148.0
1997,PA,485.0
1997,PR,6.0
1997,RI,35.0
1997,SC,211.0
1997,SD,124.0
1997,TN,82.0
1997,TX,155.0
1997,UT,4.0
1997,VA,88.0
1997,VT,22.0
1997,WA,529.0
1997,WI,228.0
1997,WV,6.0
1997,WY,82.0
1998,AK,115.0
1998,AL,525.0
1998,AR,216.0
1998,AZ,112.0
1998,CA,1848.0
1998,CO,169.0
1998,CT,82.0
1998,FL,695.0
1998,GA,1327.0
1998,HI,33.0
1998,IA,775.0
1998,ID,25.0
1998,IL,793.0
1998,IN,250.0
1998,KS,40.0
1998,KY,348.0
1998,LA,468.0
1998,MA,333.0
1998,MD,487.0
1998,ME,67.0
1998,MI,299.0
1998,MN,385.0
1998,MO,343.0
1998,MS,20.0
1998,MT,55.0
1998,NC,393.0
1998,ND,20.0
1998,NE,130.0
1998,NH,38.0
1998,NJ,211.0
1998,NM,8.0
1998,NV,266.0
1998,NY,856.0
1998,OH,330.0
1998,OK,78.0
1998,OR,189.0
1998,PA,647.0
1998,RI,71.0
1998,SC,66.0
1998,SD,59.0
1998,TN,544.0
1998,TX,1001.0
1998,UT,84.0
1998,VA,103.0
1998,VT,29.0
1998,WA,263.0
1998,WI,454.0
1998,WV,1.0
1998,WY,70.0
1999,AK,117.0
1999,AL,493.0
1999,AR,228.0
1999,AZ,320.0
1999,CA,2560.0
1999,CO,369.0
1999,CT,212.0
1999,DE,90.0
1999,FL,768.0
1999,GA,380.0
1999,HI,29.0
1999,IA,472.0
1999,ID,288.0
1999,IL,997.0
1999,IN,467.0
1999,KS,58.0
1999,KY,139.0
1999,LA,243.0
1999,MA,1094.0
1999,MD,659.0
1999,ME,84.0
1999,MI,342.0
1999,MN,1146.0
1999,MO,432.0
1999,MT,61.0
1999,NC,440.0
1999,ND,181.0
1999,NE,429.0
1999,NH,38.0
1999,NJ,255.0
1999,NM,68.0
