YEAR,STATE,TOTAL_HOME_UNITS
1992,NC,1
1992,PA,11
1993,AL,56
1993,AR,8
1993,CA,155
1993,CO,15
1993,CT,17
1993,FL,271
1993,IA,6
1993,IL,4
1993,IN,3
1993,KS,23
1993,KY,35
1993,MA,36
1993,MD,4
1993,MI,37
1993,MN,44
1993,MO,34
1993,NC,53
1993,ND,95
1993,NE,8
1993,NJ,15
1993,NV,7
1993,NY,15
1993,OH,162
1993,OK,7
1993,OR,7
1993,PA,9
1993,RI,21
1993,SC,7
1993,SD,10
1993,TN,30
1993,UT,16
1993,VA,81
1993,VT,18
1993,WA,13
1993,WI,105
1993,WV,3
1993,WY,2
1994,AL,182
1994,AR,113
1994,AZ,38
1994,CA,443
1994,CO,96
1994,CT,10
1994,FL,79
1994,GA,187
1994,HI,79
1994,IA,37
1994,ID,10
1994,IL,390
1994,IN,119
1994,KS,25
1994,KY,26
1994,LA,104
1994,MA,207
1994,MD,98
1994,ME,24
1994,MI,130
1994,MN,276
1994,MO,61
1994,NC,84
1994,ND,23
1994,NE,43
1994,NH,8
1994,NJ,48
1994,NM,13
1994,NV,138
1994,NY,131
1994,OH,242
1994,OK,45
1994,OR,69
1994,PA,176
1994,RI,38
1994,SC,6
1994,SD,26
1994,TN,38
1994,TX,89
1994,UT,86
1994,VA,44
1994,VT,34
1994,WA,135
1994,WI,229
1994,WV,16
1994,WY,23
1995,AL,286
1995,AR,125
1995,AZ,167
1995,CA,372
1995,CO,104
1995,CT,22
1995,DC,137
1995,DE,21
1995,FL,469
1995,GA,163
1995,HI,1
1995,IA,423
1995,IL,545
1995,IN,140
1995,KS,54
1995,KY,57
1995,LA,71
1995,MA,141
1995,MD,40
1995,ME,206
1995,MI,235
1995,MN,350
1995,MO,107
1995,MS,28
1995,MT,68
1995,NC,245
1995,ND,7
1995,NE,34
1995,NH,46
1995,NJ,132
1995,NM,17
1995,NV,37
1995,NY,399
1995,OH,458
1995,OK,29
1995,OR,180
1995,PA,312
1995,PR,2
1995,RI,184
1995,SC,96
1995,SD,104
1995,TN,82
1995,TX,243
1995,UT,17
1995,VA,222
1995,VT,85
1995,WA,154
1995,WI,422
1995,WY,28
1996,AK,13
1996,AL,500
1996,AR,134
1996,AZ,50
1996,CA,862
1996,CO,55
1996,CT,111
1996,FL,145
1996,GA,156
1996,HI,24
1996,IA,212
1996,ID,13
1996,IL,911
1996,IN,279
1996,KS,35
1996,KY,110
1996,LA,333
1996,MA,135
1996,MD,170
1996,ME,136
1996,MI,287
1996,MN,515
1996,MO,113
1996,MS,64
1996,MT,134
1996,NC,279
1996,ND,68
1996,NE,136
1996,NH,12
1996,NJ,322
1996,NM,65
1996,NV,35
1996,NY,1317
1996,OH,512
1996,OK,8
1996,OR,238
1996,PA,191
1996,RI,80
1996,SC,119
1996,SD,2
1996,TN,72
1996,TX,628
1996,UT,12
1996,VA,215
1996,VT,57
1996,WA,149
1996,WI,457
1996,WY,47
1997,AK,8
1997,AL,488
1997,AR,156
1997,AZ,65
1997,CA,1017
1997,CO,161
1997,CT,70
1997,DC,216
1997,FL,469
1997,GA,486
1997,HI,32
1997,IA,130
1997,ID,20
1997,IL,1086
1997,IN,174
1997,KS,142
1997,KY,39
1997,LA,26
1997,MA,199
1997,MD,110
1997,ME,159
1997,MI,169
1997,MN,392
1997,MO,196
1997,MT,18
1997,NC,268
1997,ND,1
1997,NE,100
1997,NH,65
1997,NJ,603
1997,NM,4
1997,NV,111
1997,NY,1130
1997,OH,461
1997,OK,105
1997,OR,148
1997,PA,485
1997,PR,6
1997,RI,35
1997,SC,211
1997,SD,124
1997,TN,82
1997,TX,155
1997,UT,4
1997,VA,88
1997,VT,22
1997,WA,529
1997,WI,228
1997,WV,6
1997,WY,82
1998,AK,115
1998,AL,525
1998,AR,216
1998,AZ,112
1998,CA,1848
1998,CO,169
1998,CT,82
1998,FL,695
1998,GA,1327
1998,HI,33
1998,IA,775
1998,ID,25
1998,IL,793
1998,IN,250
1998,KS,40
1998,KY,348
1998,LA,468
1998,MA,333
1998,MD,487
1998,ME,67
1998,MI,299
1998,MN,385
1998,MO,343
1998,MS,20
1998,MT,55
1998,NC,393
1998,ND,20
1998,NE,130
1998,NH,38
1998,NJ,211
1998,NM,8
1998,NV,266
1998,NY,856
1998,OH,330
1998,OK,78
1998,OR,189
1998,PA,647
1998,RI,71
1998,SC,66
1998,SD,59
1998,TN,544
1998,TX,1001
1998,UT,84
1998,VA,103
1998,VT,29
1998,WA,263
1998,WI,454
1998,WV,1
1998,WY,70
1999,AK,117
1999,AL,493
1999,AR,228
1999,AZ,320
1999,CA,2560
1999,CO,369
1999,CT,212
1999,DE,90
1999,FL,768
1999,GA,380
1999,HI,29
1999,IA,472
1999,ID,288
1999,IL,997
1999,IN,467
1999,KS,58
1999,KY,139
1999,LA,243
1999,MA,1094
1999,MD,659
1999,ME,84
1999,MI,342
1999,MN,1146
1999,MO,432
1999,MT,61
1999,NC,440
1999,ND,181
1999,NE,429
1999,NH,38
1999,NJ,255
1999,NM,68
1999,NV,298
1999,NY,1325
1999,OH,1571
1999,OK,275
1999,OR,217
1999,PA,1309
1999,PR,147
1999,RI,110
1999,SC,236
1999,SD,260
1999,TN,265
1999,TX,1309
1999,UT,27
1999,VA,79
1999,VT,47
1999,WA,417
1999,WI,465
1999,WV,37
1999,WY,52
2000,AL,703
2000,AR,210
2000,AZ,231
2000,CA,2156
2000,CO,199
2000,CT,148
2000,DE,11
2000,FL,535
2000,GA,790
2000,IA,592
2000,ID,28
2000,IL,439
2000,IN,482
2000,KS,191
2000,KY,93
2000,LA,254
2000,MA,413
2000,MD,292
2000,ME,45
2000,MI,326
2000,MN,517
2000,MO,287
2000,MS,52
2000,MT,72
2000,NC,103
2000,ND,31
2000,NE,116
2000,NH,9
2000,NJ,218
2000,NM,92
2000,NV,275
2000,NY,542
2000,OH,813
2000,OK,107
2000,OR,130
2000,PA,682
2000,RI,373
2000,SC,32
2000,SD,71
2000,TN,194
2000,TX,958
2000,UT,32
2000,VA,416
2000,VT,45
2000,WA,951
2000,WI,179
2000,WV,4
2001,AK,6
2001,AL,684
2001,AR,98
2001,AZ,261
2001,CA,2124
2001,CO,220
2001,CT,339
2001,DE,3
2001,FL,714
2001,GA,891
2001,HI,242
2001,IA,496
2001,ID,52
2001,IL,635
2001,IN,337
2001,KS,163
2001,KY,221
2001,LA,51
2001,MA,1725
2001,MD,249
2001,ME,9
2001,MI,1018
2001,MN,608
2001,MO,317
2001,MT,152
2001,NC,355
2001,ND,127
2001,NE,134
2001,NH,125
2001,NJ,645
2001,NM,10
2001,NV,137
2001,NY,1726
2001,OH,1011
2001,OK,150
2001,OR,261
2001,PA,953
2001,RI,25
2001,SC,410
2001,SD,48
2001,TN,250
2001,TX,737
2001,UT,81
2001,VA,147
2001,VI,2
2001,VT,46
2001,WA,259
2001,WI,626
2001,WY,106
2002,AK,11
2002,AL,422
2002,AR,98
2002,AZ,217
2002,CA,2364
2002,CO,623
2002,CT,140
2002,DE,20
2002,FL,274
2002,GA,277
2002,IA,281
2002,ID,33
2002,IL,544
2002,IN,613
2002,KS,31
2002,KY,204
2002,LA,176
2002,MA,340
2002,MD,237
2002,ME,21
2002,MI,620
2002,MN,560
2002,MO,789
2002,MS,141
2002,MT,132
2002,NC,780
2002,ND,17
2002,NE,67
2002,NH,12
2002,NJ,300
2002,NM,8
2002,NV,183
2002,NY,822
2002,OH,951
2002,OK,29
2002,OR,192
2002,PA,964
2002,RI,77
2002,SC,68
2002,SD,81
2002,TN,106
2002,TX,1186
2002,UT,30
2002,VA,109
2002,VT,9
2002,WA,153
2002,WI,377
2002,WV,14
2002,WY,20
2003,AL,411
2003,AR,139
2003,AZ,199
2003,CA,1835
2003,CO,212
2003,CT,62
2003,DC,10
2003,DE,16
2003,FL,889
2003,GA,787
2003,IA,885
2003,ID,141
2003,IL,1722
2003,IN,361
2003,KS,49
2003,KY,98
2003,LA,474
2003,MA,771
2003,MD,225
2003,ME,33
2003,MI,295
2003,MN,604
2003,MO,436
2003,MS,70
2003,MT,36
2003,NC,212
2003,ND,48
2003,NE,34
2003,NH,137
2003,NJ,220
2003,NV,263
2003,NY,1202
2003,OH,534
2003,OK,137
2003,OR,100
2003,PA,1021
2003,RI,53
2003,SC,198
2003,SD,126
2003,TN,184
2003,TX,1079
2003,UT,46
2003,VA,427
2003,VT,23
2003,WA,492
2003,WI,440
2003,WV,14
2003,WY,13
2004,AK,16
2004,AL,515
2004,AR,12
2004,AZ,207
2004,CA,1930
2004,CO,241
2004,CT,183
2004,DC,21
2004,DE,74
2004,FL,174
2004,GA,885
2004,HI,16
2004,IA,585
2004,ID,57
2004,IL,1759
2004,IN,616
2004,KS,30
2004,LA,201
2004,MA,605
2004,MD,288
2004,ME,34
2004,MI,598
2004,MN,344
2004,MO,556
2004,MS,80
2004,MT,118
2004,NC,533
2004,NE,61
2004,NH,20
2004,NJ,494
2004,NM,44
2004,NV,196
2004,NY,1663
2004,OH,804
2004,OK,44
2004,OR,159
2004,PA,664
2004,PR,3
2004,RI,76
2004,SC,142
2004,SD,148
2004,TN,260
2004,TX,551
2004,UT,84
2004,VA,105
2004,VT,20
2004,WA,585
2004,WI,351
2004,WV,54
2004,WY,12
2005,AK,9
2005,AL,384
2005,AR,66
2005,AZ,287
2005,CA,2938
2005,CO,72
2005,CT,1159
2005,DC,186
2005,DE,13
2005,FL,696
2005,GA,399
2005,HI,147
2005,IA,329
2005,ID,85
2005,IL,2372
2005,IN,656
2005,KS,47
2005,KY,304
2005,LA,686
2005,MA,812
2005,MD,435
2005,ME,70
2005,MI,1104
2005,MN,477
2005,MO,302
2005,MS,68
2005,MT,132
2005,NC,516
2005,ND,43
2005,NE,33
2005,NH,61
2005,NJ,865
2005,NM,88
2005,NV,507
2005,NY,1613
2005,OH,1812
2005,OK,418
2005,OR,148
2005,PA,1186
2005,RI,91
2005,SC,583
2005,SD,65
2005,TN,192
2005,TX,750
2005,UT,178
2005,VA,356
2005,VT,47
2005,WA,514
2005,WI,335
2005,WV,99
2005,WY,51
2006,AK,9
2006,AL,681
2006,AR,106
2006,AZ,149
2006,CA,2669
2006,CO,447
2006,CT,135
2006,DC,127
2006,DE,9
2006,FL,2064
2006,GA,322
2006,HI,80
2006,IA,400
2006,ID,46
2006,IL,1548
2006,IN,869
