COMPLETED_DT,LAT,LON,TOTAL_HOME_UNITS
2018-12-03,39.451704,-75.718449,4.0
2017-08-17,39.37817,-75.637834,18.0
2017-09-18,39.71723,-75.606527,47.0
2017-09-18,39.761834,-75.49655,3.0
2018-03-06,39.661431,-75.697931,3.0
2019-08-27,39.666487,-75.716188,3.0
2019-07-08,39.645783,-75.616241,10.0
2019-07-08,39.652454,-75.627065,7.0
2021-03-22,39.752264,-75.541228,6.0
2019-05-17,39.645197,-75.616201,25.0
2019-07-01,39.79019,-75.509839,13.0
2021-05-24,39.519402,-75.617385,2.0
1995-05-16,39.726748,-75.71235,3.0
1995-05-16,39.660519,-75.642468,3.0
1995-05-16,39.727611,-75.606317,3.0
1995-05-16,38.640184,-75.619452,3.0
1995-05-16,38.64853,-75.628466,3.0
1995-05-16,38.649577,-75.620331,3.0
1999-09-28,39.782556,-75.505893,3.0
1999-09-28,39.734302,-75.641855,3.0
1999-09-28,39.823876,-75.534974,3.0
1999-09-28,39.787292,-75.540195,4.0
2007-05-01,27.981874,-82.793563,16.0
2010-01-06,27.977709,-82.783479,8.0
2010-01-06,27.97767,-82.783479,8.0
2009-12-24,27.977124,-82.784823,8.0
2012-07-09,27.952411,-82.774988,7.0
2012-10-24,27.973392,-82.787213,1.0
2014-03-10,27.975582,-82.785561,28.0
2012-07-12,27.947014,-82.733346,8.0
2012-07-16,27.947014,-82.733346,6.0
2016-07-08,27.960749,-82.795854,20.0
2014-09-03,27.945045,-82.791798,7.0
2016-11-02,27.967301,-82.787847,1.0
2017-06-20,27.973448,-82.797919,6.0
2019-01-16,27.942424,-82.791595,5.0
1998-09-29,29.227809,-81.054267,3.0
1995-11-27,29.205647,-81.028404,1.0
1996-09-17,29.210989,-81.058529,1.0
1998-01-28,29.219928,-81.024787,2.0
1995-08-17,29.21964,-81.024583,1.0
2010-05-03,29.222218,-81.037749,1.0
1998-01-28,29.22363,-81.021593,1.0
2000-06-28,29.209485,-81.044589,2.0
2014-10-13,39.743925,-75.554758,11.0
2014-09-24,39.757962,-75.560442,11.0
2017-07-20,39.742879,-75.54083,11.0
2019-12-10,39.75266,-75.542236,5.0
2019-07-09,39.742714,-75.543004,2.0
2023-05-17,39.746594,-75.566945,6.0
1999-06-30,39.626676,-75.691577,5.0
2004-07-15,39.736623,-75.548997,4.0
2004-07-15,39.736623,-75.548997,3.0
2001-06-30,39.747413,-75.554657,3.0
2008-06-30,39.730759,-75.576571,11.0
2007-07-27,39.7559,-75.558429,5.0
2009-06-30,39.349401,-75.641099,6.0
2009-06-30,39.748564,-75.568665,2.0
2011-02-10,39.451644,-75.719522,4.0
2011-03-24,39.81782,-75.506275,4.0
2012-04-27,39.642658,-75.662801,5.0
2016-09-22,39.451704,-75.718449,3.0
2017-09-18,39.742879,-75.54083,2.0
2014-12-30,39.830602,-75.515125,2.0
2014-04-23,39.721796,-75.623808,3.0
2016-10-04,39.637016,-75.611214,9.0
2000-06-23,29.212546,-81.048529,1.0
2018-12-21,41.697457,-72.660858,90.0
2023-05-15,41.34708,-72.958527,62.0
2023-05-17,41.579393,-72.323623,36.0
2004-06-30,39.74431,-75.531946,30.0
2000-05-25,39.730422,-75.543987,1.0
2017-05-19,39.743685,-75.556694,6.0
1999-09-01,39.727629,-75.545206,1.0
2000-05-25,39.743893,-75.567181,3.0
2000-08-30,39.743816,-75.562709,1.0
2017-05-19,39.744797,-75.560653,24.0
2004-06-30,39.743332,-75.553388,4.0
2003-12-04,39.751184,-75.567344,2.0
2003-12-04,39.745545,-75.565343,1.0
2002-06-30,39.752781,-75.557037,9.0
2003-12-15,39.741709,-75.541589,1.0
2003-12-15,39.741715,-75.541602,1.0
2004-06-30,39.751938,-75.586679,10.0
2004-06-30,39.743458,-75.55408,1.0
2007-12-27,39.751379,-75.543212,10.0
2005-12-31,39.741688,-75.558586,7.0
2011-03-04,39.748564,-75.568665,6.0
2011-03-04,39.741323,-75.546976,9.0
2000-05-05,39.453026,-75.717952,6.0
2002-09-13,38.785165,-75.312462,11.0
2004-08-30,38.685438,-75.380031,11.0
2004-08-31,38.629607,-75.17624,11.0
2005-06-24,38.74019,-75.594917,6.0
2006-12-13,38.640427,-75.622399,5.0
2008-03-14,38.949104,-75.428157,11.0
2008-08-19,38.922547,-75.432313,11.0
2008-05-27,38.654496,-75.60081,11.0
2009-06-15,39.707751,-75.55867,11.0
2009-04-16,39.452785,-75.708081,8.0
2012-02-21,39.705386,-75.556881,5.0
2012-11-08,38.740848,-75.593476,6.0
2014-06-30,38.566524,-75.569396,11.0
2014-05-29,39.722565,-75.623683,8.0
