category,Median Home Price (NSA),CPI-Adjusted Price
Thu Jan 15 1953,18080.26,209206.96
Sun Feb 15 1953,18080.26,209996.42
Sun Mar 15 1953,18080.26,209206.96
Wed Apr 15 1953,18122.25,209692.83
Fri May 15 1953,18143.25,209149.54
Mon Jun 15 1953,18143.25,208369.13
Wed Jul 15 1953,18185.25,208851.49
Sat Aug 15 1953,18206.25,208315.37
Tue Sep 15 1953,18227.25,208555.65
Thu Oct 15 1953,18227.25,207783.22
Sun Nov 15 1953,18206.25,208315.37
Tue Dec 15 1953,18206.25,208315.37
Fri Jan 15 1954,18206.25,208315.37
Mon Feb 15 1954,18227.25,208555.65
Mon Mar 15 1954,18227.25,208555.65
Thu Apr 15 1954,18206.25,209092.67
Sat May 15 1954,18206.25,208315.37
Tue Jun 15 1954,18227.25,208555.65
Thu Jul 15 1954,18290.25,209276.5
Sun Aug 15 1954,18332.24,209756.94
Wed Sep 15 1954,18374.24,211021.98
Fri Oct 15 1954,18353.24,210780.8
Mon Nov 15 1954,18353.24,210780.8
Wed Dec 15 1954,18374.24,211812.32
Sat Jan 15 1955,18395.24,212054.4
Tue Feb 15 1955,18332.24,211328.16
Tue Mar 15 1955,18290.25,210844.11
Fri Apr 15 1955,18185.25,209633.7
Sun May 15 1955,18185.25,209633.7
Wed Jun 15 1955,18269.25,210602.03
Fri Jul 15 1955,18332.24,210539.62
Mon Aug 15 1955,18437.24,211745.51
Thu Sep 15 1955,18479.24,211438.91
Sat Oct 15 1955,18458.24,211198.63
Tue Nov 15 1955,18416.24,210718.07
Thu Dec 15 1955,18374.24,211021.98
Sun Jan 15 1956,18332.24,210539.62
Wed Feb 15 1956,18269.25,209816.2
Thu Mar 15 1956,18206.25,209092.67
Sun Apr 15 1956,18122.25,207354.25
Tue May 15 1956,18143.25,206825.66
Fri Jun 15 1956,18332.24,207443.45
Sun Jul 15 1956,18479.24,207580.54
Wed Aug 15 1956,18605.23,209761.36
Sat Sep 15 1956,18584.23,208759.91
Mon Oct 15 1956,18563.24,207765.86
Thu Nov 15 1956,18521.24,207295.78
Sat Dec 15 1956,18542.24,206778.9
Tue Jan 15 1957,18605.23,207481.35
Fri Feb 15 1957,18773.23,208599.05
Fri Mar 15 1957,18773.23,207848.69
Mon Apr 15 1957,18899.22,208493.62
Wed May 15 1957,18962.22,208441.53
Sat Jun 15 1957,18899.22,207009.68
Mon Jul 15 1957,18899.22,205546.71
Thu Aug 15 1957,18899.22,205546.71
Sun Sep 15 1957,18962.22,206231.9
Tue Oct 15 1957,19067.21,207373.76
Fri Nov 15 1957,19067.21,206643.57
Sun Dec 15 1957,19046.22,206416.09
Wed Jan 15 1958,19067.21,205198.51
Sat Feb 15 1958,19067.21,205198.51
Sat Mar 15 1958,19235.21,205568.96
Tue Apr 15 1958,19277.21,205304.95
Thu May 15 1958,19319.2,205752.15
Sun Jun 15 1958,19214.21,204634
Tue Jul 15 1958,19214.21,203928.36
Fri Aug 15 1958,19193.21,204410.34
Mon Sep 15 1958,19130.21,203739.38
Wed Oct 15 1958,19109.21,203515.73
Sat Nov 15 1958,19151.21,203259.72
Mon Dec 15 1958,19172.21,204186.69
Thu Jan 15 1959,19130.21,203036.83
Sun Feb 15 1959,19109.21,203515.73
Sun Mar 15 1959,19109.21,203515.73
Wed Apr 15 1959,19109.21,202813.95
Fri May 15 1959,19193.21,203705.48
Mon Jun 15 1959,19193.21,203005.46
Wed Jul 15 1959,19130.21,201646.17
Sat Aug 15 1959,19109.21,201424.82
Tue Sep 15 1959,19151.21,201178.56
Thu Oct 15 1959,19256.21,201593.52
Sun Nov 15 1959,19277.21,201813.37
Tue Dec 15 1959,19193.21,200933.98
Fri Jan 15 1960,19256.21,202281.56
Mon Feb 15 1960,19256.21,201593.52
Tue Mar 15 1960,19256.21,201593.52
Fri Apr 15 1960,19256.21,200910.16
Sun May 15 1960,19214.21,200471.95
Wed Jun 15 1960,19172.21,199357.95
Fri Jul 15 1960,19172.21,199357.95
Mon Aug 15 1960,19256.21,200231.41
Thu Sep 15 1960,19340.2,201104.76
Sat Oct 15 1960,19403.2,200405.76
Tue Nov 15 1960,19340.2,199755.06
Thu Dec 15 1960,19340.2,199755.06
Sun Jan 15 1961,19340.2,199755.06
Wed Feb 15 1961,19298.2,199321.26
Wed Mar 15 1961,19340.2,199755.06
Sat Apr 15 1961,19256.21,198887.57
Mon May 15 1961,19319.2,199538.16
Thu Jun 15 1961,19298.2,199321.26
Sat Jul 15 1961,19361.2,198638.81
Tue Aug 15 1961,19382.2,199519.33
Fri Sep 15 1961,19382.2,198854.27
Sun Oct 15 1961,19382.2,198854.27
Wed Nov 15 1961,19487.2,199931.53
Fri Dec 15 1961,19529.2,200362.43
Mon Jan 15 1962,19550.19,200577.78
Thu Feb 15 1962,19508.2,199482.04
Thu Mar 15 1962,19508.2,199482.04
Sun Apr 15 1962,19508.2,198821.5
Tue May 15 1962,19613.19,199891.53
Fri Jun 15 1962,19634.19,200105.55
Sun Jul 15 1962,19634.19,199445.14
Wed Aug 15 1962,19634.19,199445.14
Sat Sep 15 1962,19613.19,198576.45
Mon Oct 15 1962,19571.19,198151.22
Thu Nov 15 1962,19592.19,198363.83
Sat Dec 15 1962,19592.19,198363.83
Tue Jan 15 1963,19613.19,198576.45
Fri Feb 15 1963,19613.19,198576.45
Fri Mar 15 1963,19718.19,198984.98
Mon Apr 15 1963,19802.18,199832.56
Wed May 15 1963,19760.19,199408.82
Sat Jun 15 1963,19760.19,198757.16
Mon Jul 15 1963,19802.18,198530.72
Thu Aug 15 1963,19802.18,198530.72
Sun Sep 15 1963,19802.18,198530.72
Tue Oct 15 1963,19802.18,197886.14
Fri Nov 15 1963,19928.18,199145.28
Sun Dec 15 1963,20012.18,199337.5
Wed Jan 15 1964,20012.18,199337.5
Sat Feb 15 1964,20075.17,199964.94
Sun Mar 15 1964,20075.17,199964.94
Wed Apr 15 1964,20012.18,199337.5
Fri May 15 1964,19928.18,198500.8
Mon Jun 15 1964,19991.18,198485.98
Wed Jul 15 1964,20033.17,198263.32
Sat Aug 15 1964,20096.17,199528.39
Tue Sep 15 1964,20159.17,199510.31
Thu Oct 15 1964,20201.17,199925.98
Sun Nov 15 1964,20264.17,199906.69
Tue Dec 15 1964,20264.17,199906.69
Fri Jan 15 1965,20390.16,201149.58
Mon Feb 15 1965,20390.16,201149.58
Mon Mar 15 1965,20327.16,199887.42
Thu Apr 15 1965,20285.16,198839.14
Sat May 15 1965,20264.17,198633.4
Tue Jun 15 1965,20264.17,197376.22
Thu Jul 15 1965,20306.16,197785.21
Sun Aug 15 1965,20306.16,197785.21
Wed Sep 15 1965,20306.16,197785.21
Fri Oct 15 1965,20432.16,198384.67
Mon Nov 15 1965,20537.15,199404.07
Wed Dec 15 1965,20600.15,199386.78
Sat Jan 15 1966,20663.15,199996.55
Tue Feb 15 1966,20621.15,198342.6
Tue Mar 15 1966,20621.15,197724.71
Fri Apr 15 1966,20642.15,196700.52
Sun May 15 1966,20684.15,197100.74
Wed Jun 15 1966,20726.15,196891.39
Fri Jul 15 1966,20747.15,196484.45
Mon Aug 15 1966,20684.15,194689.72
Thu Sep 15 1966,20684.15,194689.72
Sat Oct 15 1966,20768.14,194291.95
Tue Nov 15 1966,20768.14,194291.95
Thu Dec 15 1966,20852.14,195077.79
Sun Jan 15 1967,20852.14,195077.79
Wed Feb 15 1967,20852.14,195077.79
Wed Mar 15 1967,20705.15,193115.68
Sat Apr 15 1967,20789.14,193313.25
Mon May 15 1967,20915.14,193899.1
Thu Jun 15 1967,20957.14,193705.02
Sat Jul 15 1967,20957.14,193125.06
Tue Aug 15 1967,21083.13,193706.13
Fri Sep 15 1967,21083.13,193129.63
Sun Oct 15 1967,21167.13,193323.73
Wed Nov 15 1967,21230.13,193325.46
Fri Dec 15 1967,21335.12,193708.41
Mon Jan 15 1968,21314.12,192382.75
Thu Feb 15 1968,21419.12,192765.19
Fri Mar 15 1968,21377.12,191826.31
Mon Apr 15 1968,21377.12,191268.67
Wed May 15 1968,21314.12,190152.22
Sat Jun 15 1968,21482.11,190546.32
Mon Jul 15 1968,21566.11,190195.17
Thu Aug 15 1968,21629.11,190205.78
Sun Sep 15 1968,21629.11,189663.88
Tue Oct 15 1968,21776.1,189870.94
Fri Nov 15 1968,22028.09,191525.53
Sun Dec 15 1968,22217.08,192624.59
Wed Jan 15 1969,22322.08,192991.31
Sat Feb 15 1969,22427.08,192815.88
Sat Mar 15 1969,22616.07,192824.86
Tue Apr 15 1969,22637.07,191940.53
Thu May 15 1969,22742.06,192300.99
Sun Jun 15 1969,22805.06,191779.96
Tue Jul 15 1969,23015.05,192494
Fri Aug 15 1969,23162.05,192676.33
Mon Sep 15 1969,23330.04,193550.67
Wed Oct 15 1969,23519.03,194072.35
Sat Nov 15 1969,23624.03,193899.11
Mon Dec 15 1969,23771.02,194070.52
Thu Jan 15 1970,24002.01,195437.95
Sun Feb 15 1970,24170,195770
